4.12,-67.54,4.121,-53.1,4.12,-56.75
4.13,-67.54,4.131,-53.1,4.13,-54.19
4.14,-67.54,4.141,-53.1,4.141,-51.82
4.151,-67.54,4.15,-53.1,4.15,-49.08
4.16,-67.36,4.161,-53.1,4.16,-46.52
4.17,-67.36,4.171,-53.1,4.17,-43.96
4.18,-67.36,4.181,-52.91,4.181,-41.4
4.191,-67.36,4.19,-52.91,4.19,-39.2
4.2,-67.36,4.201,-53.1,4.2,-37.01
4.21,-67.36,4.211,-53.1,4.21,-34.82
4.22,-67.36,4.221,-53.1,4.221,-32.81
4.231,-67.36,4.23,-53.1,4.23,-31.16
4.241,-67.36,4.24,-53.1,4.24,-29.52
4.25,-67.36,4.251,-53.1,4.25,-28.05
4.26,-67.36,4.261,-53.1,4.26,-26.96
4.27,-67.36,4.271,-53.1,4.271,-25.86
4.281,-67.36,4.28,-53.1,4.28,-24.76
4.29,-67.36,4.291,-53.1,4.29,-23.67
4.3,-67.36,4.301,-53.1,4.3,-23.12
4.31,-67.36,4.311,-53.1,4.311,-22.75
4.321,-67.36,4.32,-53.1,4.32,-22.39
4.33,-67.36,4.331,-53.1,4.33,-22.2
4.34,-67.36,4.341,-53.1,4.34,-21.84
4.35,-67.36,4.351,-53.1,4.351,-21.66
4.361,-67.36,4.36,-53.1,4.36,-21.47
4.37,-67.36,4.371,-53.1,4.37,-21.29
4.38,-67.36,4.381,-53.1,4.38,-21.29
4.39,-67.36,4.391,-53.1,4.391,-21.29
4.401,-67.36,4.401,-53.1,4.401,-21.47
4.411,-67.36,4.41,-53.1,4.41,-21.84
4.42,-67.36,4.421,-53.1,4.42,-22.75
4.43,-67.36,4.431,-53.1,4.43,-24.76
4.44,-67.36,4.441,-53.1,4.441,-26.59
4.451,-67.36,4.45,-53.1,4.45,-29.15
4.46,-67.36,4.461,-53.1,4.46,-31.89
4.47,-67.36,4.471,-53.1,4.47,-35.18
4.48,-67.36,4.481,-53.1,4.481,-38.66
4.491,-67.36,4.49,-53.1,4.49,-41.58
4.5,-67.36,4.501,-53.1,4.5,-45.24
4.51,-67.36,4.511,-53.1,4.51,-48.71
4.52,-67.36,4.521,-53.1,4.521,-52.91
4.531,-67.36,4.53,-53.1,4.53,-56.39
4.541,-67.36,4.541,-53.1,4.54,-58.95
4.55,-67.36,4.551,-53.1,4.55,-61.51
4.56,-67.36,4.561,-53.1,4.561,-64.06
4.571,-67.36,4.571,-53.1,4.571,-66.08
4.581,-67.36,4.58,-53.1,4.58,-66.99
4.59,-67.36,4.591,-53.1,4.59,-67.36
4.6,-67.54,4.601,-53.1,4.6,-67.36
4.61,-67.54,4.611,-53.1,4.611,-67.36
4.621,-67.36,4.62,-53.1,4.62,-67.36
4.63,-67.36,4.631,-53.1,4.63,-67.36
4.64,-67.36,4.641,-53.1,4.64,-67.36
4.65,-67.36,4.651,-53.1,4.651,-67.17
4.661,-67.36,4.66,-53.1,4.66,-66.99
4.67,-67.36,4.671,-53.1,4.67,-66.99
4.68,-67.36,4.681,-53.1,4.68,-66.08
4.69,-67.36,4.691,-53.1,4.691,-64.06
4.701,-67.36,4.7,-53.1,4.701,-61.32
4.711,-67.36,4.71,-53.1,4.71,-58.76
4.72,-67.36,4.721,-53.1,4.72,-56.57
4.73,-67.36,4.731,-53.1,4.73,-53.83
4.741,-67.17,4.741,-53.1,4.741,-51.27
4.751,-67.17,4.75,-53.1,4.75,-48.71
4.76,-67.36,4.761,-53.1,4.76,-45.97
